wall_time_epoch_s,monotonic_time_s,linear_speed_mps,angular_speed_rps,linear_cmd_mps,angular_cmd_rps,left_wheel_target_rad_s,right_wheel_target_rad_s,pose_x_m,pose_y_m,theta_rad
1763168946.677681,251.230572,0.000000,0.000000,0.300000,0.000000,3.937008,3.937008,0.000000,0.000000,0.000000
1763168946.697759,251.250657,0.017760,-0.118398,0.300000,0.000000,3.937008,3.937008,0.000357,-0.000000,-0.002378
1763168946.717776,251.270677,0.298189,-0.283365,0.299999,0.047332,3.843823,4.030170,0.006326,-0.000032,-0.008051
1763168946.738782,251.291684,0.371066,-0.187412,0.299990,0.119231,3.702173,4.171586,0.014121,-0.000110,-0.011988
1763168946.759780,251.312682,0.194069,0.535008,0.299978,0.099339,3.741170,4.132269,0.018196,-0.000136,-0.000754
1763168946.780790,251.333692,0.091011,0.505883,0.300000,-0.193969,4.318835,3.555177,0.020108,-0.000127,0.009875
1763168946.801799,251.354701,0.209685,-0.768422,0.299986,-0.209532,4.349286,3.524356,0.024513,-0.000119,-0.006269
1763168946.824426,251.377328,0.280777,-1.248874,0.299994,0.297736,3.350833,4.523022,0.030865,-0.000249,-0.034528
1763168946.845430,251.398332,0.232035,-0.235069,0.299819,0.580391,2.792125,5.077128,0.035736,-0.000429,-0.039465
1763168946.866435,251.419337,0.054679,1.513025,0.299761,0.185538,3.568640,4.299106,0.036884,-0.000456,-0.007684
1763168946.887445,251.440347,0.178580,0.380774,0.299990,-0.536035,4.992064,2.881690,0.040636,-0.000470,0.000316
1763168946.907638,251.460540,0.385939,-1.016835,0.300000,-0.139238,4.211099,3.662916,0.048428,-0.000547,-0.020216
1763168946.927718,251.480620,0.309460,-0.996838,0.299935,0.410790,3.127516,4.744798,0.054640,-0.000735,-0.040233
1763168946.948776,251.501678,0.100507,0.404208,0.299748,0.452366,3.043213,4.824182,0.056755,-0.000811,-0.031721
1763168946.969776,251.522678,0.126065,1.025892,0.299841,-0.069201,4.071141,3.798696,0.059402,-0.000867,-0.010178
1763168946.990793,251.543695,0.381981,-0.172663,0.299982,-0.349168,4.624105,3.249426,0.067429,-0.000963,-0.013807
1763168947.011858,251.564760,0.369419,-1.049580,0.299967,0.101201,3.737360,4.135789,0.075208,-0.001156,-0.035916
1763168947.034423,251.587325,0.154682,-0.135474,0.299793,0.480068,2.989274,4.879304,0.078696,-0.001287,-0.038973
1763168947.055428,251.608330,0.000864,0.751446,0.299756,0.153130,3.632364,4.235237,0.078715,-0.001288,-0.023189
1763168947.076442,251.629344,0.236659,-0.171389,0.299909,-0.217007,4.362997,3.508639,0.083686,-0.001412,-0.026790
1763168947.097472,251.650374,0.457831,-0.409469,0.299880,0.133741,3.672158,4.198698,0.093310,-0.001711,-0.035401
1763168947.117638,251.670541,0.279207,-0.473243,0.299791,0.246484,3.449066,4.419476,0.098936,-0.001937,-0.044945
1763168947.137721,251.690624,0.012557,0.917720,0.299667,0.284907,3.371802,4.493483,0.099188,-0.001946,-0.026515
1763168947.157731,251.710633,0.085642,0.287110,0.299877,-0.253247,4.433908,3.436871,0.100901,-0.001987,-0.020770
1763168947.178778,251.731680,0.316084,-0.887088,0.299921,-0.044230,4.023036,3.848901,0.107551,-0.002187,-0.039441
1763168947.199797,251.752699,0.396219,-0.766336,0.299737,0.431811,3.083532,4.783576,0.115869,-0.002582,-0.055548
1763168947.220765,251.773667,0.146214,0.601070,0.299487,0.430789,3.082270,4.778290,0.118931,-0.002733,-0.042945
1763168947.241789,251.794691,0.020623,1.100215,0.299682,-0.106484,4.142450,3.723220,0.119365,-0.002747,-0.019814
1763168947.264416,251.817318,0.224379,-0.869276,0.299921,-0.349063,4.623105,3.248840,0.124440,-0.002897,-0.039483
1763168947.285425,251.838327,0.379489,-1.636910,0.299725,0.450655,3.046288,4.820519,0.132399,-0.003349,-0.073872
1763168947.306442,251.859344,0.150328,0.288241,0.299094,0.798487,2.353294,5.496944,0.135551,-0.003573,-0.067815
1763168947.327435,251.880338,0.057520,1.677439,0.299224,0.071945,3.785198,4.068447,0.136757,-0.003633,-0.032599
1763168947.347629,251.900531,0.223650,0.642102,0.299797,-0.526076,4.969924,2.898758,0.141272,-0.003751,-0.019633
1763168947.367712,251.920614,0.432145,-1.007893,0.299914,-0.165964,4.262576,3.609172,0.149947,-0.004009,-0.039874
1763168947.388782,251.941685,0.323447,-1.281469,0.299702,0.467916,3.012001,4.854188,0.156752,-0.004373,-0.066876
1763168947.409796,251.962698,0.020201,0.408069,0.299221,0.654307,2.638785,5.214795,0.157176,-0.004400,-0.058301
1763168947.430856,251.983758,0.025478,0.807351,0.299395,0.003638,3.921906,3.936229,0.156640,-0.004373,-0.041298
1763168947.451842,252.004744,0.377429,0.188290,0.299676,-0.185917,4.298733,3.566778,0.164554,-0.004684,-0.037347
