wall_time_epoch_s,monotonic_time_s,linear_speed_mps,angular_speed_rps,linear_cmd_mps,angular_cmd_rps,left_wheel_target_rad_s,right_wheel_target_rad_s,pose_x_m,pose_y_m,theta_rad
1763163549.334598,1441.417542,0.000000,0.000000,0.300000,0.000000,3.937008,3.937008,0.000000,0.000000,0.000000
1763163549.354681,1441.437633,0.056081,-0.373871,0.300000,0.000000,3.937008,3.937008,0.001127,-0.000004,-0.007511
1763163549.375719,1441.458676,0.175770,-0.293390,0.299992,0.112738,3.714971,4.158823,0.004825,-0.000043,-0.013685
1763163549.396716,1441.479673,0.282735,-0.459478,0.299972,0.111993,3.716178,4.157096,0.010761,-0.000153,-0.023333
1763163549.417704,1441.500661,0.214390,0.240740,0.299917,0.180729,3.580156,4.291688,0.015259,-0.000247,-0.018280
1763163549.438727,1441.521683,0.152559,0.581008,0.299948,-0.015607,3.967054,3.905610,0.018466,-0.000286,-0.006066
1763163549.461338,1441.544294,0.159425,0.096539,0.299994,-0.136247,4.205132,3.668725,0.022071,-0.000304,-0.003883
1763163549.482357,1441.565313,0.261077,-0.884126,0.299997,-0.016528,3.969509,3.904438,0.027558,-0.000376,-0.022467
1763163549.503387,1441.586344,0.303510,-0.364293,0.299922,0.290419,3.364289,4.507671,0.033939,-0.000544,-0.030128
1763163549.524347,1441.607304,0.115742,0.168323,0.299859,0.174750,3.591158,4.279150,0.036364,-0.000613,-0.026600
1763163549.544568,1441.627524,0.074365,0.847632,0.299889,0.024961,3.886411,3.984684,0.037867,-0.000640,-0.009461
1763163549.564640,1441.647596,0.232761,0.022407,0.299985,-0.188490,4.307849,3.565763,0.042539,-0.000683,-0.009012
1763163549.585716,1441.668673,0.311346,-0.868269,0.299986,0.019364,3.898703,3.974941,0.049100,-0.000802,-0.027312
1763163549.606700,1441.689657,0.200942,0.031589,0.299881,0.300851,3.343222,4.527673,0.053315,-0.000916,-0.026649
1763163549.627720,1441.710676,0.131146,0.614368,0.299886,0.062397,3.812679,4.058335,0.056071,-0.000972,-0.013735
1763163549.647789,1441.730745,0.179360,0.343610,0.299967,-0.123637,4.179959,3.693198,0.059671,-0.001009,-0.006839
1763163549.668710,1441.751667,0.307232,-0.838692,0.299991,-0.065776,4.066364,3.807405,0.066098,-0.001109,-0.024386
1763163549.691281,1441.774238,0.235113,-0.539728,0.299902,0.284820,3.375051,4.496390,0.071402,-0.001271,-0.036568
1763163549.712338,1441.795295,0.133400,0.541421,0.299784,0.249504,3.443025,4.425325,0.074210,-0.001357,-0.025167
1763163549.733383,1441.816340,0.121381,0.786350,0.299894,-0.074570,4.082402,3.788821,0.076764,-0.001401,-0.008619
1763163549.754385,1441.837342,0.256539,-0.240734,0.299985,-0.180733,4.292579,3.581032,0.082151,-0.001461,-0.013675
1763163549.774562,1441.857519,0.347393,-0.759970,0.299965,0.102442,3.734891,4.138207,0.089159,-0.001610,-0.029009
1763163549.794636,1441.877594,0.217592,-0.270950,0.299858,0.270981,3.401716,4.468571,0.093525,-0.001749,-0.034448
1763163549.815698,1441.898655,0.092592,0.672760,0.299802,0.161127,3.617224,4.251582,0.095474,-0.001802,-0.020279
1763163549.836694,1441.919651,0.116831,0.578963,0.299926,-0.120467,4.173170,3.698893,0.097927,-0.001837,-0.008123
1763163549.857728,1441.940685,0.309737,-0.467840,0.299985,-0.125812,4.184467,3.689143,0.104442,-0.001922,-0.017964
1763163549.878773,1441.961730,0.335639,-0.772823,0.299939,0.174848,3.592022,4.280401,0.111503,-0.002106,-0.034228
1763163549.901345,1441.984302,0.179588,0.164891,0.299799,0.297810,3.348132,4.520611,0.115554,-0.002237,-0.030506
1763163549.922358,1442.005314,0.075036,0.532795,0.299836,0.038277,3.859511,4.010209,0.117130,-0.002277,-0.019310
1763163549.943369,1442.026326,0.194325,0.206839,0.299928,-0.084373,4.102154,3.769976,0.121213,-0.002347,-0.014964
1763163549.964383,1442.047339,0.321353,-0.781647,0.299953,-0.008854,3.953825,3.918967,0.127964,-0.002503,-0.031389
1763163549.984561,1442.067517,0.278982,-0.272154,0.299824,0.293716,3.356517,4.512879,0.133590,-0.002695,-0.036881
1763163550.004644,1442.087601,0.139904,0.381854,0.299760,0.171899,3.595476,4.272244,0.136398,-0.002788,-0.029212
1763163550.024650,1442.107607,0.109712,0.760209,0.299842,-0.013010,3.960546,3.909327,0.138592,-0.002836,-0.014003
