wall_time_epoch_s,monotonic_time_s,linear_speed_mps,angular_speed_rps,linear_cmd_mps,angular_cmd_rps,left_wheel_target_rad_s,right_wheel_target_rad_s,pose_x_m,pose_y_m,theta_rad
1763438531.755071,383.979376,0.000000,0.000000,0.200000,0.000000,2.624672,2.624672,0.000000,0.000000,0.000000
1763438531.775164,383.999473,0.000000,0.000000,0.200000,0.000000,2.624672,2.624672,0.000000,0.000000,0.000000
1763438531.796210,384.020525,0.065824,-0.219399,0.200000,0.000000,2.624672,2.624672,0.001386,-0.000003,-0.004619
1763438531.817185,384.041501,0.024303,-0.080931,0.200000,0.006173,2.612521,2.636823,0.001895,-0.000006,-0.006316
1763438531.838182,384.062498,0.041985,-0.029729,0.200000,0.008448,2.608041,2.641303,0.002777,-0.000012,-0.006941
1763438531.859207,384.083523,0.048404,-0.230819,0.200000,0.009307,2.606352,2.642992,0.003795,-0.000021,-0.011793
1763438531.881838,384.106154,0.031817,0.023372,0.200000,0.015819,2.593532,2.655812,0.004515,-0.000030,-0.011265
1763438531.902837,384.127153,0.076830,-0.003301,0.200000,0.015151,2.594847,2.654497,0.006128,-0.000048,-0.011334
1763438531.923837,384.148153,0.060546,-0.006228,0.200000,0.015324,2.594506,2.654838,0.007399,-0.000062,-0.011465
1763438531.944849,384.169165,0.053965,0.006458,0.200000,0.015563,2.594036,2.655308,0.008533,-0.000075,-0.011329
1763438531.965039,384.189355,0.091057,0.006505,0.200000,0.015440,2.594279,2.655065,0.010371,-0.000096,-0.011198
1763438531.985129,384.209445,0.069668,0.005642,0.200000,0.015357,2.594442,2.654901,0.011771,-0.000112,-0.011084
1763438532.005148,384.229464,0.100779,0.020953,0.200000,0.015275,2.594604,2.654740,0.013788,-0.000134,-0.010665
1763438532.026179,384.250495,0.095753,-0.071060,0.200000,0.014813,2.595513,2.653831,0.015802,-0.000157,-0.012159
1763438532.047189,384.271505,0.076166,-0.078703,0.200000,0.016908,2.591389,2.657955,0.017402,-0.000177,-0.013813
1763438532.067341,384.291656,0.083062,-0.149104,0.200000,0.019204,2.586868,2.662476,0.019076,-0.000203,-0.016817
1763438532.088197,384.312513,0.079698,0.058624,0.200000,0.023324,2.578759,2.670585,0.020738,-0.000230,-0.015595
1763438532.109173,384.333489,0.095396,0.021559,0.200000,0.021814,2.581732,2.667612,0.022739,-0.000261,-0.015142
1763438532.131765,384.356081,0.078628,-0.094939,0.200000,0.021347,2.582650,2.666694,0.024515,-0.000289,-0.017287
1763438532.152819,384.377135,0.094648,-0.051646,0.200000,0.024335,2.576769,2.672575,0.026507,-0.000325,-0.018375
1763438532.173849,384.398165,0.103081,-0.045805,0.200000,0.025942,2.573605,2.675739,0.028675,-0.000366,-0.019338
1763438532.194832,384.419148,0.094675,-0.173930,0.200000,0.027408,2.570719,2.678624,0.030661,-0.000408,-0.022988
1763438532.215030,384.439346,0.096567,0.004855,0.200000,0.032460,2.560775,2.688569,0.032611,-0.000453,-0.022889
1763438532.235111,384.459427,0.113012,0.005440,0.200000,0.032528,2.560641,2.688703,0.034879,-0.000504,-0.022780
1763438532.256168,384.480484,0.104668,-0.107636,0.200000,0.032612,2.560475,2.688869,0.037083,-0.000557,-0.025047
1763438532.277186,384.501502,0.088056,0.070431,0.200000,0.035867,2.554067,2.695277,0.038933,-0.000602,-0.023566
1763438532.298235,384.522551,0.098137,0.025935,0.200000,0.034094,2.557558,2.691786,0.040998,-0.000650,-0.023020
1763438532.319235,384.543551,0.105454,-0.231804,0.200000,0.033580,2.558569,2.690775,0.043212,-0.000707,-0.027888
1763438532.341810,384.566126,0.107889,0.096478,0.200000,0.040319,2.545304,2.704039,0.045647,-0.000772,-0.025710
1763438532.362813,384.587129,0.113566,0.070452,0.200000,0.037706,2.550448,2.698896,0.048031,-0.000831,-0.024231
1763438532.383836,384.608151,0.106468,-0.202134,0.200000,0.035998,2.553809,2.695535,0.050269,-0.000890,-0.028480
1763438532.404824,384.629140,0.103431,0.159185,0.200000,0.041924,2.542145,2.707199,0.052439,-0.000949,-0.025139
1763438532.425034,384.649350,0.129388,-0.061257,0.200000,0.037730,2.550401,2.698943,0.055053,-0.001016,-0.026377
1763438532.445122,384.669438,0.110055,-0.191786,0.200000,0.039679,2.546564,2.702780,0.057263,-0.001078,-0.030230
1763438532.466171,384.690487,0.107626,0.173754,0.200000,0.045091,2.535910,2.713433,0.059527,-0.001143,-0.026572
1763438532.487173,384.711489,0.097151,0.006688,0.200000,0.040503,2.544942,2.704402,0.061567,-0.001197,-0.026432
1763438532.508168,384.732484,0.121586,-0.128816,0.200000,0.040556,2.544838,2.704506,0.064118,-0.001268,-0.029136
1763438532.529183,384.753500,0.121743,-0.121020,0.200000,0.044475,2.537123,2.712221,0.066676,-0.001346,-0.031680
1763438532.551817,384.776134,0.094750,0.012047,0.200000,0.048209,2.529772,2.719572,0.068819,-0.001413,-0.031407
1763438532.572822,384.797138,0.118942,0.106955,0.200000,0.048146,2.529896,2.719448,0.071316,-0.001489,-0.029160
1763438532.593836,384.818152,0.132364,-0.029689,0.200000,0.045489,2.535127,2.714217,0.074097,-0.001571,-0.029784
1763438532.614842,384.839158,0.115232,0.028671,0.200000,0.046684,2.532774,2.716570,0.076516,-0.001642,-0.029182
1763438532.635038,384.859354,0.122853,0.075446,0.200000,0.046199,2.533729,2.715614,0.078996,-0.001713,-0.027658
1763438532.655109,384.879425,0.117346,0.032800,0.200000,0.044481,2.537110,2.712234,0.081351,-0.001777,-0.027000
1763438532.676168,384.900484,0.106862,0.011634,0.200000,0.043890,2.538274,2.711070,0.083600,-0.001838,-0.026755
1763438532.697183,384.921499,0.121908,-0.105695,0.200000,0.043832,2.538388,2.710956,0.086161,-0.001909,-0.028976
1763438532.717260,384.941575,0.122206,-0.060261,0.200000,0.047109,2.531937,2.717406,0.088614,-0.001981,-0.030186
1763438532.737269,384.961584,0.126513,-0.079531,0.200000,0.049043,2.528130,2.721214,0.091144,-0.002060,-0.031777
1763438532.757286,384.981601,0.122220,0.226941,0.200000,0.051512,2.523270,2.726073,0.093589,-0.002132,-0.027235
1763438532.777378,385.001692,0.143416,0.023621,0.200000,0.045780,2.534554,2.714789,0.096469,-0.002210,-0.026760
1763438532.797372,385.021686,0.126195,0.009488,0.200000,0.045493,2.535119,2.714225,0.098992,-0.002277,-0.026570
1763438534.308608,386.532920,0.002389,0.020011,0.200000,0.045539,2.535029,2.714315,0.102601,-0.002377,0.003671
1763438534.328595,386.552907,0.164981,0.000000,0.200000,0.005671,2.613508,2.635836,0.105898,-0.002365,0.003671
1763438534.348574,386.572888,0.171954,0.008935,0.200000,0.005614,2.613621,2.635723,0.109334,-0.002351,0.003850
1763438535.787625,388.011937,0.001087,0.001351,0.200000,0.005314,2.614210,2.635133,0.110898,-0.002345,0.005794
1763438536.536956,388.761267,0.007850,0.012506,0.200000,0.002696,2.619366,2.629978,0.116780,-0.002310,0.015165
1763438537.426612,389.650923,0.001399,-0.000112,0.200000,-0.009953,2.644265,2.605079,0.115536,-0.002330,0.015066
1763438537.446392,389.670704,0.059108,-0.650093,0.200000,-0.009733,2.643830,2.605513,0.114367,-0.002347,0.002207
1763438538.320971,390.545283,0.007148,-0.019225,0.200000,0.007487,2.609934,2.639410,0.120618,-0.002340,-0.014608
1763438539.082089,391.306401,0.006991,-0.103749,0.200000,0.029874,2.565864,2.683480,0.115297,-0.002289,-0.093573
1763438539.342250,391.566562,0.007417,-0.007956,0.200000,0.134706,2.359502,2.889841,0.117218,-0.002472,-0.095643
1763438539.363269,391.587581,0.190255,-1.883559,0.200000,0.138262,2.352503,2.896841,0.121199,-0.002857,-0.135235
1763438540.672730,392.897043,0.000480,0.002912,0.200000,0.192337,2.246055,3.003289,0.121822,-0.002942,-0.131422
1763438541.651674,393.875987,0.010558,0.001649,0.200000,0.187677,2.255228,2.994115,0.132068,-0.004302,-0.129808
1763438542.516209,394.740521,0.009455,-0.074657,0.200000,0.191530,2.247644,3.001700,0.123959,-0.003270,-0.194352
1763438543.622013,395.846325,0.012236,-0.024606,0.200000,0.271749,2.089733,3.159611,0.137237,-0.005869,-0.221561
1763438543.639200,395.863514,0.976461,0.430602,0.200000,0.318390,1.997920,3.251423,0.153619,-0.009523,-0.214159
1763438545.251380,397.475691,0.004566,-0.075854,0.200000,0.324562,1.985770,3.263574,0.146422,-0.007977,-0.336449
1763438546.151031,398.375343,0.000583,-0.010921,0.200000,0.473480,1.692624,3.556720,0.145927,-0.007804,-0.346274
1763438546.991452,399.215764,0.000009,0.000000,0.200000,0.484988,1.669971,3.579372,0.145920,-0.007801,-0.346274
1763438547.791897,400.016209,0.000000,0.000000,0.200000,0.484978,1.669992,3.579352,0.145920,-0.007801,-0.346274
1763438548.592499,400.816811,0.000000,0.000000,0.200000,0.484977,1.669992,3.579352,0.145920,-0.007801,-0.346274
1763438548.612374,400.836687,0.000000,0.000000,0.200000,0.484977,1.669992,3.579352,0.145920,-0.007801,-0.346274
1763438548.632505,400.856820,0.000000,0.000000,0.200000,0.484977,1.669992,3.579352,0.145920,-0.007801,-0.346274
1763438549.952408,402.176720,0.000000,0.000000,0.200000,0.484977,1.669992,3.579352,0.145920,-0.007801,-0.346274
1763438550.702759,402.927071,0.000000,0.000000,0.200000,0.484977,1.669992,3.579352,0.145920,-0.007801,-0.346274
1763438551.679206,403.903518,0.000000,0.000000,0.200000,0.484977,1.669992,3.579352,0.145920,-0.007801,-0.346274
