wall_time_epoch_s,monotonic_time_s,linear_speed_mps,angular_speed_rps,linear_cmd_mps,angular_cmd_rps,left_wheel_target_rad_s,right_wheel_target_rad_s,pose_x_m,pose_y_m,theta_rad
1763439926.852528,1779.076832,0.018524,-0.123497,0.200000,0.000000,2.624672,2.624672,0.000396,-0.000001,-0.002638
1763439926.872669,1779.096976,0.053731,-0.084496,0.200000,0.003520,2.617743,2.631601,0.001478,-0.000004,-0.004340
1763439926.893668,1779.117983,0.059840,0.243077,0.200000,0.005806,2.613242,2.636102,0.002735,-0.000007,0.000766
1763439926.914647,1779.138962,0.038604,-0.020693,0.200000,-0.000992,2.626625,2.622719,0.003545,-0.000006,0.000332
1763439926.935652,1779.159967,0.030696,0.102549,0.200000,-0.000415,2.625489,2.623855,0.004190,-0.000005,0.002486
1763439926.956683,1779.180988,0.060776,-0.072301,0.200000,-0.003291,2.631151,2.618193,0.005467,-0.000003,0.000966
1763439926.979293,1779.203609,0.036055,0.077519,0.200000,-0.001275,2.627181,2.622163,0.006283,-0.000001,0.002720
1763439927.000292,1779.224608,0.078401,0.017390,0.200000,-0.003619,2.631797,2.617547,0.007929,0.000003,0.003085
1763439927.021290,1779.245606,0.061079,0.001142,0.200000,-0.004128,2.632797,2.616547,0.009212,0.000007,0.003109
1763439927.042298,1779.266614,0.070702,0.119223,0.200000,-0.004177,2.632895,2.616449,0.010697,0.000014,0.005613
1763439927.062501,1779.286816,0.079934,-0.066710,0.200000,-0.007545,2.639525,2.609819,0.012312,0.000022,0.004266
1763439927.082582,1779.306898,0.065503,-0.022213,0.200000,-0.005784,2.636058,2.613286,0.013627,0.000027,0.003819
1763439927.103642,1779.327958,0.088722,-0.007717,0.200000,-0.005213,2.634933,2.614411,0.015496,0.000034,0.003657
1763439927.124644,1779.348960,0.082290,0.107344,0.200000,-0.005027,2.634568,2.614776,0.017224,0.000042,0.005911
1763439927.145648,1779.369964,0.099509,-0.201828,0.200000,-0.008070,2.640557,2.608786,0.019314,0.000050,0.001672
1763439927.165730,1779.390045,0.101203,-0.017993,0.200000,-0.002453,2.629500,2.619844,0.021346,0.000053,0.001311
1763439927.186655,1779.410971,0.085664,0.104543,0.200000,-0.001985,2.628578,2.620765,0.023139,0.000058,0.003499
1763439927.209222,1779.433537,0.093691,-0.188930,0.200000,-0.004921,2.634358,2.614986,0.025253,0.000060,-0.000765
1763439927.229311,1779.453627,0.122235,0.118985,0.200000,0.000751,2.623193,2.626151,0.027709,0.000062,0.001625
1763439927.250308,1779.474624,0.098192,-0.031000,0.200000,-0.002441,2.629476,2.619867,0.029771,0.000064,0.000975
1763439927.271334,1779.495650,0.101056,-0.017439,0.200000,-0.001585,2.627791,2.621552,0.031895,0.000066,0.000608
1763439927.292336,1779.516651,0.118581,-0.108304,0.200000,-0.001103,2.626844,2.622500,0.034386,0.000065,-0.001667
1763439927.312537,1779.536852,0.125304,-0.098205,0.200000,0.001935,2.620862,2.628481,0.036917,0.000058,-0.003650
1763439927.332621,1779.556937,0.108499,0.030902,0.200000,0.004610,2.615597,2.633747,0.039096,0.000051,-0.003030
1763439927.353696,1779.578012,0.103645,0.010816,0.200000,0.003815,2.617162,2.632182,0.041280,0.000044,-0.002802
1763439927.374679,1779.598994,0.140724,0.025507,0.200000,0.003539,2.617704,2.631639,0.044233,0.000037,-0.002267
1763439927.395736,1779.620051,0.092270,0.061898,0.200000,0.002859,2.619044,2.630300,0.046176,0.000034,-0.000963
1763439927.416699,1779.641004,0.120222,-0.108439,0.200000,0.001135,2.622437,2.626907,0.048695,0.000028,-0.003235
1763439927.439254,1779.663570,0.112857,-0.105520,0.200000,0.004188,2.616427,2.632916,0.051242,0.000017,-0.005616
1763439927.459328,1779.683644,0.109831,0.017122,0.200000,0.007413,2.610079,2.639265,0.053447,0.000005,-0.005273
1763439927.480311,1779.704626,0.102356,-0.010316,0.200000,0.007008,2.610876,2.638468,0.055594,-0.000007,-0.005489
1763439927.501311,1779.725626,0.122405,-0.141617,0.200000,0.007348,2.610207,2.639137,0.058165,-0.000025,-0.008463
1763439927.522317,1779.746633,0.117768,-0.096798,0.200000,0.011393,2.602245,2.647099,0.060638,-0.000048,-0.010497
