wall_time_epoch_s,monotonic_time_s,linear_speed_mps,angular_speed_rps,linear_cmd_mps,angular_cmd_rps,left_wheel_target_rad_s,right_wheel_target_rad_s,pose_x_m,pose_y_m,theta_rad
1763163876.556891,1768.639836,0.000000,0.000000,0.300000,0.000000,3.937008,3.937008,0.000000,0.000000,0.000000
1763163876.576972,1768.659925,0.035518,-0.236785,0.300000,0.000000,3.937008,3.937008,0.000713,-0.000002,-0.004757
1763163876.598018,1768.680974,0.144114,-0.521856,0.299997,0.071376,3.796459,4.077468,0.003747,-0.000033,-0.015741
1763163876.619012,1768.701968,0.274373,-0.522647,0.299963,0.177145,3.587807,4.285229,0.009506,-0.000155,-0.026714
1763163876.640002,1768.722958,0.232561,0.138478,0.299892,0.205893,3.530285,4.340889,0.014386,-0.000278,-0.023807
1763163876.661031,1768.743988,0.167736,0.380786,0.299913,0.025491,3.885686,3.986046,0.017912,-0.000348,-0.015799
1763163876.683640,1768.766597,0.118671,0.334706,0.299961,-0.058774,4.052190,3.820798,0.020595,-0.000380,-0.008232
1763163876.704643,1768.787600,0.226826,-0.430531,0.299989,-0.072579,4.079734,3.793989,0.025359,-0.000441,-0.017275
1763163876.725651,1768.808607,0.287488,-0.779946,0.299953,0.158201,3.624970,4.247809,0.031396,-0.000595,-0.033659
1763163876.746665,1768.829622,0.187096,0.093571,0.299824,0.292567,3.358776,4.510615,0.035326,-0.000723,-0.031693
1763163876.766860,1768.849816,0.097619,0.692325,0.299842,0.058295,3.820183,4.049690,0.037297,-0.000772,-0.017712
1763163876.786927,1768.869883,0.146786,0.482022,0.299949,-0.127741,4.187792,3.684874,0.040242,-0.000810,-0.008039
1763163876.807990,1768.890947,0.292662,-0.782190,0.299988,-0.098097,4.129957,3.743748,0.046406,-0.000910,-0.024514
1763163876.828990,1768.911946,0.281076,-0.781480,0.299903,0.271091,3.402088,4.469374,0.052305,-0.001103,-0.040925
1763163876.849999,1768.932956,0.189071,0.284680,0.299734,0.313092,3.317197,4.549845,0.056274,-0.001254,-0.034944
1763163876.870090,1768.953047,0.121650,0.898763,0.299803,0.018102,3.898783,3.970053,0.058718,-0.001317,-0.016887
1763163876.891063,1768.974020,0.153350,0.348831,0.299950,-0.178981,4.288675,3.584024,0.061934,-0.001360,-0.009571
