wall_time_epoch_s,monotonic_time_s,linear_speed_mps,angular_speed_rps,linear_cmd_mps,angular_cmd_rps,left_wheel_target_rad_s,right_wheel_target_rad_s,pose_x_m,pose_y_m,theta_rad
1763170749.060619,2053.613509,0.000000,0.000000,0.300000,0.000000,3.937008,3.937008,0.000000,0.000000,0.000000
1763170749.080711,2053.633606,0.000000,0.000000,0.300000,0.000000,3.937008,3.937008,0.000000,0.000000,0.000000
1763170749.101754,2053.654656,0.167773,-0.460102,0.300000,0.000000,3.937008,3.937008,0.003532,-0.000017,-0.009685
1763170749.122724,2053.675626,0.136119,-0.222473,0.299986,0.130981,3.678985,4.194660,0.006386,-0.000051,-0.014350
1763170749.143718,2053.696620,0.050016,-0.081634,0.299969,0.073151,3.792602,4.080597,0.007436,-0.000067,-0.016064
1763170749.164741,2053.717643,0.117340,-0.249899,0.299961,0.037757,3.862171,4.010820,0.009902,-0.000113,-0.021318
1763170749.187367,2053.740269,0.085973,0.016932,0.299931,0.087687,3.763492,4.108715,0.011847,-0.000155,-0.020935
1763170749.208371,2053.761273,0.117464,-0.140409,0.299933,0.016825,3.903012,3.969252,0.014313,-0.000210,-0.023884
1763170749.229372,2053.782274,0.149287,-0.110687,0.299913,0.061666,3.814476,4.057254,0.017448,-0.000288,-0.026208
1763170749.250375,2053.803277,0.117982,-0.020588,0.299895,0.056566,3.824274,4.046976,0.019925,-0.000354,-0.026641
1763170749.270582,2053.823485,0.169898,-0.128711,0.299891,0.033251,3.870117,4.001028,0.023357,-0.000450,-0.029242
1763170749.290655,2053.843558,0.178720,-0.097436,0.299868,0.063457,3.810356,4.060187,0.026942,-0.000558,-0.031198
1763170749.311714,2053.864616,0.164431,-0.055196,0.299849,0.057633,3.821571,4.048471,0.030403,-0.000668,-0.032360
1763170749.332716,2053.885618,0.167680,-0.072902,0.299836,0.049022,3.838357,4.031359,0.033923,-0.000785,-0.033891
1763170749.353718,2053.906621,0.177323,0.083431,0.299819,0.055382,3.825617,4.043658,0.037645,-0.000908,-0.032139
1763170749.373807,2053.926709,0.194483,-0.085297,0.299836,0.012815,3.909628,3.960080,0.041550,-0.001037,-0.033852
